,asset_id,asset_name,backup_asset_id,backup_site_id,backup_asset_name,monitoring_platform,site_id,field_name,address,time_zone,start_date,days_in_month,degradation_profile,degradation_factor,monthly_energy_estimate,daily_energy_estimate,monthly_insolation_estimate,daily_insolation_estimate
184,efae1a27-c51b-ec11-b6e6-000d3a1dca0b,CA-W LA / W OLYMPIC BLVD & SAWTELLE.07024,49f869b8-c41b-ec11-b6e6-000d3a1dca0b,3892231,CA - N Hollywood - Sherman Way.29139,Locus,3865840,KWHdel,"11259 W Olympic Blvd, Los Angeles, CA 90064",America/Los_Angeles,2022-02-03,26,0.5,1.0,8813.0,314.75,97.5,3.48
195,05e7a4a4-e51b-ec11-b6e6-000d3a1dca0b,CA - Woodland Hills.08511,efae1a27-c51b-ec11-b6e6-000d3a1dca0b,3865840,CA-W LA / W OLYMPIC BLVD & SAWTELLE.07024,Locus,3888375,KWHdel,"22222 Ventura Blvd,  Woodland Hills, CA 91364",America/Los_Angeles,2022-03-07,25,0.5,1.0,13151.0,424.23,153.1,4.94
205,967324e2-e51b-ec11-b6e6-000d3a1dca0b,CA-W LA / PICO BLVD & PURDUE.24609,efae1a27-c51b-ec11-b6e6-000d3a1dca0b,3865840,CA-W LA / W OLYMPIC BLVD & SAWTELLE.07024,Locus,3872775,KWHdel,"2300 Purdue Ave, Los Angeles, CA 90064",America/Los_Angeles,2021-08-20,12,0.5,1.0,17537.0,565.71,210.1,6.78
222,1a5bef4e-eb08-eb11-a813-000d3a8b659a,Roof Lease-Loiacano-130 Sohier,c3cf9d63-34e9-ea11-a817-000d3a8c8077,3849332,SED - Salem State-Gassett Fitness Center,Locus,3852121,KWHdel,"130 Sohier Rd,  Beverly, MA 01915",America/New_York,2020-09-01,30,0.5,1.0,66598.9,2219.96,127.6,4.25
250,2cd7436a-7f1f-eb11-a813-000d3a8b659a,MA-HYDE PARK (MATTAPAN)/ RIVER ST.27016,5f6e0b78-54f4-ea11-a815-000d3a8c8077,3850337,MA-BRIGHTON / LINCOLN ST.25833,Locus,3850356,KWHdel,"800 River Street,  Hyde Park, MA 2136",America/New_York,2020-11-04,27,0.5,1.0,2645.35,88.18,59.9,2.0
276,68facc32-7124-eb11-a813-000d3a8b659a,MA-WOBURN / WASHINGTON ST.25836,2cd7436a-7f1f-eb11-a813-000d3a8b659a,3850356,MA-HYDE PARK (MATTAPAN)/ RIVER ST.27016,Locus,3850348,KWHdel,"420 Washington St,  Woburn , MA 1801",America/New_York,2020-11-06,25,0.5,1.0,4819.61,160.65,59.9,2.0
302,ad2b4003-9a2e-eb11-a813-000d3a8b659a,Cross Keys Place - CAM,c7cf9d63-34e9-ea11-a817-000d3a8c8077,3848160,Deptford Landing,Locus,3850577,KWHdel,"141 Tuckahoe Rd, Sewell, NJ 8080",America/New_York,2020-09-24,7,1.0,1.0,15050.3,501.68,132.4,4.41
330,b639af99-223e-eb11-a813-000d3a8b659a,Park West Place,c9cf9d63-34e9-ea11-a817-000d3a8c8077,3830859,Gilroy Crossing,Locus,3862333,KWHdel,"10318 Trinity Pkwy, Stockton, CA 95219",America/Los_Angeles,2020-08-22,10,0.5,1.0,71681.3,2312.3,222.1,7.16
359,acbdcff5-d351-eb11-a813-000d3a8b659a,"SED - Roof Lease-Acton Street Assets, LLC.",8dcf9d63-34e9-ea11-a817-000d3a8c8077,3833898,MA- 15 Tech Circle,Locus,3892217,KWHdel,"74 Acton St., Watertown, MA 2472",America/New_York,2020-11-12,19,0.5,1.0,9173.3,305.78,62.2,2.07
385,b8c8e277-b5fd-ea11-a815-000d3a8b659a,SED - Salem State-Berry Library,d4591bc0-b5fd-ea11-a815-000d3a8b659a,3850743,SED - Salem State-Marsh Hall,Locus,3829633,KWHdel,"4 College Drive,  Salem, MA 01970",America/New_York,2020-07-27,5,0.5,1.0,26186.3,844.72,191.9,6.19
