,Unnamed: 0,asset_id,asset_name,backup_asset_id,backup_site_id,backup_asset_name,monitoring_platform,site_id,field_name,address,time_zone,start_date,days_in_month,degradation_profile,degradation_factor,monthly_energy_estimate,daily_energy_estimate,monthly_insolation_estimate,daily_insolation_estimate
20767,20767,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,28,0.5,0.995,8081.0,287.16,76.8,2.74
20768,20768,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,0.995,12291.0,394.5,120.1,3.87
20769,20769,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,30,0.5,0.995,16670.0,552.89,152.8,5.09
20770,20770,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,0.995,18414.0,591.03,174.5,5.63
20771,20771,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,30,0.5,0.995,20099.0,666.62,193.9,6.46
20772,20772,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,0.995,19088.0,612.66,185.5,5.98
20773,20773,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,0.995,16915.0,542.92,163.1,5.26
20774,20774,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,30,0.5,0.995,13732.0,455.44,129.1,4.3
20775,20775,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,0.995,11755.0,377.3,106.8,3.45
20776,20776,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,30,0.5,0.995,7404.0,245.57,66.4,2.21
20777,20777,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,0.995,5862.0,188.15,56.3,1.82
